Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,650,936,522,0.351,10.630,8224125
1,651,924,548,0.945,28.636,7895160
1,652,929,530,0.616,18.682,8092539
1,653,929,533,0.099,3.000,8158332
1,654,929,545,0.396,12.000,8289918
1,655,941,513,1.128,34.176,8618883
1,656,962,470,1.579,47.854,9079434
1,657,953,488,0.664,20.125,8816262
1,658,953,488,0.000,0.000,8816262
1,659,921,530,1.742,52.802,8026746
1,660,937,504,1.007,30.529,8684676
1,661,949,486,0.714,21.633,8618883
1,662,949,486,0.000,0.000,8684676
1,663,933,514,1.064,32.249,8158332
1,664,958,478,1.446,43.829,8947848
1,665,946,510,1.128,34.176,8289918
1,666,928,542,1.212,36.715,7960953
1,667,928,542,0.000,0.000,7960953
1,668,937,518,0.846,25.632,8092539
1,669,957,486,1.245,37.736,8816262
1,670,954,512,0.864,26.173,8553090
1,671,970,477,1.270,38.484,9276813
1,672,970,477,0.000,0.000,9276813
1,673,954,512,1.270,38.484,8224125
1,674,970,484,1.064,32.249,9013641
1,675,954,526,1.483,44.944,8158332
1,676,974,484,1.535,46.519,9408399
1,677,974,484,0.000,0.000,9408399
1,678,953,516,1.263,38.275,8487297
1,679,944,545,1.002,30.364,8750469
1,680,957,500,1.546,46.840,8684676
1,681,945,549,1.665,50.448,7829367
1,682,945,549,0.000,0.000,7829367
1,683,964,504,1.612,48.847,8289918
1,684,973,485,0.694,21.024,9079434
1,685,958,516,1.136,34.438,7960953
1,686,962,488,0.933,28.284,8618883
1,687,962,489,0.033,1.000,8750469
1,688,949,517,1.019,30.871,8224125
1,689,930,556,1.432,43.382,8618883
1,690,949,525,1.200,36.359,8224125
